Address,CaseNumber,CrimeAgainst,Neighborhood,OccurDate,OccurTime,OffenseCategory,OffenseType,OpenDataLat,OpenDataLon,OpenDataX,OpenDataY,ReportDate,OffenseCount
,22-X5668706,Person,Centennial,1/1/2022,0100,Assault Offenses,Simple Assault,,,,,1/1/2022,1
,22-X5668767,Person,Parkrose,1/1/2022,0000,Assault Offenses,Aggravated Assault,,,,,1/1/2022,1
,22-X5668767,Society,Parkrose,1/1/2022,0000,Weapon Law Violations,Weapons Law Violations,,,,,1/1/2022,1
,22-X5668818,Person,Woodstock,1/1/2022,1424,Assault Offenses,Simple Assault,,,,,1/1/2022,1
,22-X5668818,Person,Woodstock,1/1/2022,1424,Kidnapping/Abduction,Kidnapping/Abduction,,,,,1/1/2022,1
,22-X5668827,Person,Powellhurst-Gilbert,1/1/2022,1700,Assault Offenses,Simple Assault,,,,,1/1/2022,1
,22-X5668891,Person,Centennial,1/1/2022,1704,Assault Offenses,Simple Assault,,,,,1/1/2022,1
,22-X5668898,Person,Hazelwood,1/1/2022,0300,Assault Offenses,Aggravated Assault,,,,,1/1/2022,1
,22-X5668950,Person,Downtown,1/1/2022,0641,Assault Offenses,Aggravated Assault,,,,,1/1/2022,1
,22-X5669026,Person,Mt Scott-Arleta,1/1/2022,2235,Assault Offenses,Aggravated Assault,,,,,1/1/2022,1
,22-X5669062,Person,Argay,1/1/2022,0147,Assault Offenses,Aggravated Assault,,,,,1/1/2022,1
,22-X5669062,Person,Argay,1/1/2022,0147,Homicide Offenses,Murder and Non-negligent Manslaughter,,,,,1/1/2022,2
,22-X5669088,Person,Glenfair,1/2/2022,0839,Assault Offenses,Simple Assault,,,,,1/2/2022,1
,22-X5669092,Person,Centennial,1/2/2022,1130,Assault Offenses,Simple Assault,,,,,1/2/2022,1
,22-X5669106,Person,Reed,1/2/2022,0401,Assault Offenses,Simple Assault,,,,,1/2/2022,1
,22-X5669108,Person,Woodstock,1/2/2022,1050,Assault Offenses,Simple Assault,,,,,1/2/2022,1
,22-X5669112,Person,Parkrose Heights,1/2/2022,0343,Assault Offenses,Aggravated Assault,,,,,1/2/2022,1
,22-X5669115,Person,Humboldt,1/2/2022,1435,Assault Offenses,Simple Assault,,,,,1/2/2022,1
,22-X5669128,Person,Piedmont,1/2/2022,0900,Homicide Offenses,Murder and Non-negligent Manslaughter,,,,,1/2/2022,1
,22-X5669131,Person,King,1/2/2022,2100,Assault Offenses,Aggravated Assault,,,,,1/2/2022,1
,22-X5669148,Person,Centennial,1/2/2022,1850,Assault Offenses,Simple Assault,,,,,1/2/2022,1
,22-X5669150,Person,Roseway,1/1/2022,0101,Assault Offenses,Simple Assault,,,,,1/1/2022,1
,22-X5669151,Property,Eliot,1/2/2022,1928,Robbery,Robbery,,,,,1/2/2022,1
,22-X5669193,Person,South Portland,1/3/2022,0315,Assault Offenses,Simple Assault,,,,,1/3/2022,1
,22-X5669245,Person,Creston-Kenilworth,12/31/2021,2330,Sex Offenses,Rape,,,,,1/2/2022,1
,22-X5669247,Person,Old Town/Chinatown,1/3/2022,1245,Assault Offenses,Aggravated Assault,,,,,1/3/2022,1
,22-X5669250,Person,Old Town/Chinatown,1/2/2022,0130,Sex Offenses,Sexual Assault With An Object,,,,,1/2/2022,1
,22-X5669250,Property,Old Town/Chinatown,1/2/2022,0130,Robbery,Robbery,,,,,1/2/2022,1
,22-X5669277,Person,Downtown,1/3/2022,0400,Assault Offenses,Aggravated Assault,,,,,1/3/2022,1
