Address,CaseNumber,CrimeAgainst,Neighborhood,OccurDate,OccurTime,OffenseCategory,OffenseType,OpenDataLat,OpenDataLon,OpenDataX,OpenDataY,ReportDate,OffenseCount
,21-X5543818,Person,Concordia,12/31/2020,1230,Assault Offenses,Aggravated Assault,,,,,1/1/2021,1
,21-X5543818,Property,Concordia,12/31/2020,1230,Larceny Offenses,All Other Larceny,,,,,1/1/2021,1
,21-X5543827,Person,Pearl,1/1/2021,0715,Assault Offenses,Simple Assault,,,,,1/1/2021,1
,21-X5543859,Person,Centennial,1/1/2021,2013,Assault Offenses,Aggravated Assault,,,,,1/1/2021,1
,21-X5543864,Person,Powellhurst-Gilbert,1/1/2021,0816,Assault Offenses,Simple Assault,,,,,1/1/2021,1
,21-X5543866,Person,Downtown,1/1/2021,0000,Assault Offenses,Simple Assault,,,,,1/1/2021,1
,21-X5543873,Person,King,1/1/2021,0110,Assault Offenses,Aggravated Assault,,,,,1/1/2021,1
,21-X5543879,Property,Hazelwood,1/1/2021,2101,Vandalism,Vandalism,,,,,1/1/2021,1
,21-X5544074,Person,Kerns,1/2/2021,1150,Assault Offenses,Simple Assault,,,,,1/2/2021,1
,21-X5544103,Person,Hazelwood,1/2/2021,2124,Assault Offenses,Simple Assault,,,,,1/2/2021,1
,21-X5544196,Person,Argay,1/2/2021,1445,Homicide Offenses,Negligent Manslaughter,,,,,1/2/2021,1
,21-X5544287,Person,Downtown,1/3/2021,0335,Kidnapping/Abduction,Kidnapping/Abduction,,,,,1/3/2021,1
,21-X5544326,Person,Lents,1/2/2021,1340,Assault Offenses,Simple Assault,,,,,1/2/2021,1
,21-X5544343,Person,Mt Tabor,1/3/2021,0830,Assault Offenses,Simple Assault,,,,,1/3/2021,1
,21-X5544402,Person,South Portland,1/3/2021,1525,Assault Offenses,Aggravated Assault,,,,,1/3/2021,1
,21-X5544425,Person,Hazelwood,1/3/2021,1724,Assault Offenses,Simple Assault,,,,,1/3/2021,1
