Address,CaseNumber,CrimeAgainst,Neighborhood,OccurDate,OccurTime,OffenseCategory,OffenseType,OpenDataLat,OpenDataLon,OpenDataX,OpenDataY,ReportDate,OffenseCount
,19-X5380510,Property,Hazelwood,11/22/2019,0730,Motor Vehicle Theft,Motor Vehicle Theft,,,,,11/22/2019,1
,19-X5380607,Person,Eliot,11/22/2019,1310,Assault Offenses,Simple Assault,,,,,11/22/2019,1
,19-X5380621,Person,Old Town/Chinatown,11/22/2019,1602,Assault Offenses,Aggravated Assault,,,,,11/22/2019,1
,19-X5380742,Person,Vernon,11/15/2019,1021,Assault Offenses,Simple Assault,,,,,11/17/2019,1
,19-X5380744,Person,Mill Park,11/11/2019,1400,Assault Offenses,Simple Assault,,,,,11/22/2019,1
,19-X5380749,Person,Hillsdale,11/13/2019,0000,Sex Offenses,Fondling,,,,,11/17/2019,1
,19-X5380757,Person,Richmond,11/22/2019,2100,Assault Offenses,Aggravated Assault,,,,,11/22/2019,1
,19-X5380784,Person,St Johns,11/18/2019,1901,Assault Offenses,Simple Assault,,,,,11/18/2019,1
,19-X5380786,Person,South Tabor,10/6/2019,1630,Assault Offenses,Simple Assault,,,,,11/18/2019,1
,19-X5380798,Person,,11/18/2019,1624,Assault Offenses,Simple Assault,,,,,11/18/2019,1
,19-X5380848,Property,Powellhurst-Gilbert,11/17/2019,1304,Larceny Offenses,All Other Larceny,,,,,11/17/2019,1
,19-X5380850,Person,Portsmouth,11/15/2019,1854,Assault Offenses,Intimidation,,,,,11/17/2019,1
,19-X5380856,Property,Brentwood-Darlington,11/7/2019,0830,Burglary,Burglary,,,,,11/17/2019,1
,19-X5380867,Property,Cully,11/16/2019,1630,Vandalism,Vandalism,,,,,11/17/2019,1
,19-X5380871,Property,Centennial,11/18/2019,1242,Vandalism,Vandalism,,,,,11/18/2019,1
,19-X5380927,Property,Hazelwood,11/23/2019,0505,Vandalism,Vandalism,,,,,11/23/2019,1
,19-X5380934,Person,Creston-Kenilworth,11/22/2019,0251,Assault Offenses,Aggravated Assault,,,,,11/23/2019,1
,19-X5380936,Person,Old Town/Chinatown,11/23/2019,0436,Assault Offenses,Simple Assault,,,,,11/23/2019,1
,19-X5380961,Person,,8/1/2019,0000,Sex Offenses,Sodomy,,,,,11/22/2019,1
,19-X5380968,Person,Lloyd,10/21/2019,0000,Sex Offenses,Rape,,,,,11/22/2019,1
,19-X5381019,Person,Sunderland,11/23/2019,1117,Assault Offenses,Aggravated Assault,,,,,11/23/2019,1
,19-X5381019,Society,Sunderland,11/23/2019,1117,Weapon Law Violations,Weapons Law Violations,,,,,11/23/2019,1
,19-X5381063,Person,Multnomah,11/17/2019,1647,Sex Offenses,Fondling,,,,,11/17/2019,1
,19-X5381068,Person,Sellwood-Moreland,11/22/2019,2130,Sex Offenses,Rape,,,,,11/23/2019,1
,19-X5381166,Person,Concordia,9/21/2019,1300,Sex Offenses,Rape,,,,,11/20/2019,1
,19-X5381234,Person,Lents,11/19/2019,1630,Assault Offenses,Aggravated Assault,,,,,11/20/2019,1
,19-X5381239,Property,Old Town/Chinatown,11/14/2019,0000,Larceny Offenses,All Other Larceny,,,,,11/20/2019,1
,19-X5381276,Person,Hayhurst,11/22/2019,2134,Assault Offenses,Simple Assault,,,,,11/22/2019,1
,19-X5381327,Person,Parkrose,11/23/2019,1437,Assault Offenses,Simple Assault,,,,,11/23/2019,1
,19-X5381330,Person,Wilkes,11/22/2019,2053,Assault Offenses,Simple Assault,,,,,11/22/2019,1
,19-X5381351,Property,Kerns,11/12/2019,1200,Larceny Offenses,All Other Larceny,,,,,11/19/2019,1
,19-X5381403,Person,Wilkes,11/24/2019,0042,Assault Offenses,Simple Assault,,,,,11/24/2019,1
,19-X5381421,Person,Montavilla,11/23/2019,2200,Assault Offenses,Simple Assault,,,,,11/23/2019,1
,19-X5381464,Property,Mill Park,11/19/2019,1415,Larceny Offenses,Purse-Snatching,,,,,11/19/2019,1
,19-X5381476,Person,Lents,11/23/2019,1600,Assault Offenses,Simple Assault,,,,,11/23/2019,1
,19-X5381523,Person,Lents,11/24/2019,1232,Assault Offenses,Simple Assault,,,,,11/24/2019,1
,19-X5381543,Person,,11/19/2019,1119,Assault Offenses,Intimidation,,,,,11/19/2019,1
,19-X5381555,Person,Cully,11/24/2019,1545,Assault Offenses,Simple Assault,,,,,11/24/2019,1
,19-X5381564,Person,,11/22/2019,2218,Assault Offenses,Intimidation,,,,,11/22/2019,1
,19-X5381564,Property,,11/22/2019,2218,Fraud Offenses,Credit Card/ATM Fraud,,,,,11/22/2019,1
,19-X5381589,Person,East Columbia,11/24/2019,1447,Assault Offenses,Aggravated Assault,,,,,11/24/2019,1
,19-X5381604,Person,Lloyd,11/20/2019,2150,Sex Offenses,Fondling,,,,,11/20/2019,1
,19-X5381648,Property,Powellhurst-Gilbert,11/24/2019,1851,Vandalism,Vandalism,,,,,11/25/2019,1
,19-X5381648,Society,Powellhurst-Gilbert,11/24/2019,1851,Weapon Law Violations,Weapons Law Violations,,,,,11/25/2019,1
,19-X5381669,Person,,11/24/2019,1400,Assault Offenses,Simple Assault,,,,,11/24/2019,1
,19-X5381749,Person,Madison South,11/24/2019,1330,Assault Offenses,Simple Assault,,,,,11/24/2019,1
,19-X5381765,Person,Hazelwood,11/25/2019,0001,Assault Offenses,Aggravated Assault,,,,,11/25/2019,1
,19-X5381790,Person,Glenfair,11/24/2019,1300,Assault Offenses,Aggravated Assault,,,,,11/24/2019,1
,19-X5381834,Person,Goose Hollow,11/24/2019,2249,Assault Offenses,Simple Assault,,,,,11/24/2019,1
,19-X5381846,Person,Old Town/Chinatown,11/20/2019,2130,Kidnapping/Abduction,Kidnapping/Abduction,,,,,11/24/2019,1
,19-X5381846,Person,Old Town/Chinatown,11/20/2019,2130,Sex Offenses,Rape,,,,,11/24/2019,1
,19-X5381888,Person,St Johns,11/24/2019,2340,Assault Offenses,Aggravated Assault,,,,,11/25/2019,1
,19-X5381910,Person,Brentwood-Darlington,7/5/2019,0119,Assault Offenses,Simple Assault,,,,,7/5/2019,1
,19-X5381917,Person,Downtown,11/25/2019,0148,Assault Offenses,Simple Assault,,,,,11/25/2019,1
,19-X5381998,Person,Powellhurst-Gilbert,11/15/2019,0100,Sex Offenses,Fondling,,,,,11/23/2019,1
,19-X5382003,Person,Parkrose Heights,11/25/2019,0442,Kidnapping/Abduction,Kidnapping/Abduction,,,,,11/25/2019,1
,19-X5382003,Property,Parkrose Heights,11/25/2019,0442,Burglary,Burglary,,,,,11/25/2019,1
,19-X5382066,Person,Hillsdale,11/25/2019,1041,Assault Offenses,Intimidation,,,,,11/25/2019,1
,19-X5382240,Person,Pearl,11/25/2019,1817,Assault Offenses,Simple Assault,,,,,11/25/2019,1
,19-X5382278,Property,South Tabor,11/16/2019,1400,Larceny Offenses,All Other Larceny,,,,,11/17/2019,1
,19-X5382334,Person,Centennial,11/25/2019,1906,Assault Offenses,Simple Assault,,,,,11/25/2019,1
,19-X5382339,Person,Powellhurst-Gilbert,11/25/2019,2241,Assault Offenses,Simple Assault,,,,,11/25/2019,2
,19-X5382431,Person,Creston-Kenilworth,11/25/2019,1415,Assault Offenses,Aggravated Assault,,,,,11/25/2019,1
,19-X5382431,Property,Creston-Kenilworth,11/25/2019,1415,Burglary,Burglary,,,,,11/25/2019,1
,19-X5382460,Person,Centennial,11/25/2019,1936,Assault Offenses,Simple Assault,,,,,11/25/2019,1
,19-X5382478,Person,Eliot,11/23/2019,0155,Assault Offenses,Intimidation,,,,,11/26/2019,1
,19-X5382549,Person,Powellhurst-Gilbert,11/26/2019,1325,Assault Offenses,Simple Assault,,,,,11/26/2019,1
,19-X5382552,Person,,11/26/2019,1652,Assault Offenses,Aggravated Assault,,,,,11/26/2019,1
,19-X5382553,Person,,11/24/2019,0200,Assault Offenses,Simple Assault,,,,,11/26/2019,1
,19-X5382611,Person,Creston-Kenilworth,3/14/2017,1055,Assault Offenses,Simple Assault,,,,,11/19/2019,1
,19-X5382636,Person,Cathedral Park,11/22/2019,2110,Assault Offenses,Simple Assault,,,,,11/22/2019,1
,19-X5382638,Person,Woodlawn,11/26/2019,2305,Assault Offenses,Simple Assault,,,,,11/26/2019,1
,19-X5382645,Property,Hazelwood,11/26/2019,2145,Robbery,Robbery,,,,,11/26/2019,1
,19-X5382680,Person,Hazelwood,11/27/2019,0352,Assault Offenses,Simple Assault,,,,,11/27/2019,1
,19-X5382738,Person,Parkrose,11/19/2019,0235,Assault Offenses,Simple Assault,,,,,11/19/2019,1
,19-X5382765,Person,Argay,11/27/2019,0400,Assault Offenses,Simple Assault,,,,,11/27/2019,1
,19-X5382879,Person,Downtown,11/27/2019,1130,Assault Offenses,Simple Assault,,,,,11/27/2019,1
,19-X5382879,Society,Downtown,11/27/2019,1130,Drug/Narcotic Offenses,Drug/Narcotic Violations,,,,,11/27/2019,1
,19-X5382904,Property,Lloyd,11/15/2019,0030,Larceny Offenses,Theft From Motor Vehicle,,,,,11/23/2019,1
,19-X5383030,Person,Vernon,11/27/2019,2108,Assault Offenses,Aggravated Assault,,,,,11/27/2019,2
,19-X5383068,Property,Cully,11/28/2019,0436,Vandalism,Vandalism,,,,,11/28/2019,1
,19-X5383079,Person,Glenfair,11/28/2019,0341,Assault Offenses,Simple Assault,,,,,11/28/2019,1
,19-X5383079,Property,Glenfair,11/28/2019,0341,Vandalism,Vandalism,,,,,11/28/2019,1
,19-X5383102,Person,Rose City Park,11/21/2019,0735,Assault Offenses,Simple Assault,,,,,11/21/2019,1
,19-X5383102,Property,Rose City Park,11/21/2019,0735,Robbery,Robbery,,,,,11/21/2019,1
,19-X5383141,Person,Argay,11/21/2019,0816,Assault Offenses,Simple Assault,,,,,11/21/2019,1
,19-X5383190,Person,Powellhurst-Gilbert,11/28/2019,1433,Assault Offenses,Simple Assault,,,,,11/28/2019,1
,19-X5383208,Property,Montavilla,11/21/2019,0900,Vandalism,Vandalism,,,,,11/21/2019,1
,19-X5383216,Person,South Portland,11/28/2019,1239,Assault Offenses,Aggravated Assault,,,,,11/28/2019,2
,19-X5383246,Person,Mt Scott-Arleta,11/28/2019,1054,Assault Offenses,Simple Assault,,,,,11/28/2019,1
,19-X5383254,Person,St Johns,11/22/2019,1000,Assault Offenses,Aggravated Assault,,,,,11/22/2019,1
,19-X5383267,Person,Hazelwood,11/27/2019,2152,Assault Offenses,Simple Assault,,,,,11/27/2019,1
,19-X5383315,Person,Pleasant Valley,11/28/2019,1320,Assault Offenses,Simple Assault,,,,,11/28/2019,1
,19-X5383413,Person,Glenfair,11/28/2019,1825,Assault Offenses,Simple Assault,,,,,11/28/2019,2
,19-X5383429,Person,Brooklyn,11/21/2019,1920,Assault Offenses,Simple Assault,,,,,11/21/2019,1
,19-X5383529,Person,Cully,11/28/2019,2300,Assault Offenses,Aggravated Assault,,,,,11/29/2019,1
,19-X5383553,Person,Mt Scott-Arleta,11/29/2019,0930,Assault Offenses,Simple Assault,,,,,11/29/2019,2
,19-X5383556,Person,Goose Hollow,1/1/2018,0000,Sex Offenses,Statutory Rape,,,,,11/27/2019,1
,19-X5383557,Property,South Portland,11/29/2019,0909,Robbery,Robbery,,,,,11/29/2019,1
,19-X5383617,Person,Arbor Lodge,11/29/2019,0045,Assault Offenses,Simple Assault,,,,,11/29/2019,1
,19-X5383690,Person,Powellhurst-Gilbert,11/24/2019,2000,Kidnapping/Abduction,Kidnapping/Abduction,,,,,11/29/2019,1
,19-X5383690,Property,Powellhurst-Gilbert,11/24/2019,2000,Robbery,Robbery,,,,,11/29/2019,1
,19-X5383861,Person,Buckman East,11/23/2019,2023,Assault Offenses,Simple Assault,,,,,11/23/2019,1
,19-X5383861,Property,Buckman East,11/23/2019,2023,Vandalism,Vandalism,,,,,11/23/2019,1
,19-X5383877,Person,Eliot,11/29/2019,1818,Assault Offenses,Simple Assault,,,,,11/29/2019,1
,19-X5383886,Property,Overlook,11/29/2019,2252,Vandalism,Vandalism,,,,,11/29/2019,1
,19-X5383895,Person,Mill Park,11/23/2019,1800,Assault Offenses,Simple Assault,,,,,11/23/2019,1
,19-X5383902,Person,Downtown,11/23/2019,2241,Assault Offenses,Simple Assault,,,,,11/23/2019,1
,19-X5383953,Person,Hazelwood,11/30/2019,0423,Assault Offenses,Simple Assault,,,,,11/30/2019,1
,19-X5383955,Person,Boise,11/30/2019,0217,Assault Offenses,Simple Assault,,,,,11/30/2019,1
,19-X5383959,Person,Lents,11/24/2019,1000,Assault Offenses,Simple Assault,,,,,11/24/2019,1
,19-X5383960,Person,Pearl,11/30/2019,0210,Assault Offenses,Simple Assault,,,,,11/30/2019,1
,19-X5383961,Person,Montavilla,11/29/2019,1834,Assault Offenses,Simple Assault,,,,,11/29/2019,1
,19-X5383961,Property,Montavilla,11/29/2019,1834,Vandalism,Vandalism,,,,,11/29/2019,1
,19-X5383964,Person,Northwest,11/30/2019,0121,Assault Offenses,Simple Assault,,,,,11/30/2019,1
,19-X5383967,Person,Hazelwood,11/29/2019,1843,Assault Offenses,Simple Assault,,,,,11/29/2019,2
,19-X5383991,Person,Hazelwood,11/30/2019,0547,Assault Offenses,Simple Assault,,,,,11/30/2019,1
,19-X5384022,Property,Hayhurst,11/27/2019,0001,Robbery,Robbery,,,,,11/27/2019,1
,19-X5384038,Property,Powellhurst-Gilbert,11/24/2019,1229,Larceny Offenses,All Other Larceny,,,,,11/24/2019,1
,19-X5384060,Person,Lloyd,11/30/2019,0535,Assault Offenses,Aggravated Assault,,,,,11/30/2019,1
,19-X5384073,Person,Old Town/Chinatown,9/1/2019,0000,Sex Offenses,Sodomy,,,,,11/30/2019,1
,19-X5384074,Person,,11/23/2019,0130,Sex Offenses,Rape,,,,,11/25/2019,1
,19-X5384143,Property,Madison South,11/24/2019,1200,Vandalism,Vandalism,,,,,11/24/2019,1
,19-X5384154,Person,Parkrose,11/30/2019,1346,Assault Offenses,Aggravated Assault,,,,,11/30/2019,1
,19-X5384209,Person,Glenfair,11/30/2019,1911,Assault Offenses,Simple Assault,,,,,11/30/2019,1
,19-X5384238,Person,Hosford-Abernethy,11/25/2019,2030,Sex Offenses,Rape,,,,,11/26/2019,1
,19-X5384240,Person,Concordia,11/30/2019,1848,Assault Offenses,Simple Assault,,,,,11/30/2019,1
,19-X5384240,Property,Concordia,11/30/2019,1848,Vandalism,Vandalism,,,,,11/30/2019,1
,19-X5384296,Person,Southwest Hills,8/7/2019,0000,Sex Offenses,Rape,,,,,11/26/2019,1
,19-X5384319,Person,Centennial,11/26/2019,1735,Assault Offenses,Intimidation,,,,,11/26/2019,1
,19-X5384410,Person,Hazelwood,11/30/2019,2106,Assault Offenses,Simple Assault,,,,,11/30/2019,1
,19-X5384420,Property,Overlook,12/1/2019,0000,Burglary,Burglary,,,,,12/1/2019,1
,19-X5384528,Person,Sumner,11/30/2019,2346,Assault Offenses,Aggravated Assault,,,,,11/30/2019,1
,19-X5384528,Society,Sumner,11/30/2019,2346,Weapon Law Violations,Weapons Law Violations,,,,,11/30/2019,1
,19-X5384551,Person,Reed,11/28/2019,1500,Assault Offenses,Simple Assault,,,,,11/30/2019,1
,19-X5384562,Person,Lloyd,11/29/2019,0118,Assault Offenses,Simple Assault,,,,,11/29/2019,1
,19-X5384562,Property,Lloyd,11/29/2019,0118,Fraud Offenses,Credit Card/ATM Fraud,,,,,11/29/2019,1
,19-X5384566,Person,King,11/29/2019,0957,Assault Offenses,Simple Assault,,,,,11/29/2019,1
,19-X5384569,Person,Parkrose,12/1/2019,1220,Assault Offenses,Simple Assault,,,,,12/1/2019,1
,19-X5384609,Person,Hazelwood,11/27/2019,2314,Assault Offenses,Simple Assault,,,,,11/27/2019,1
,19-X5384612,Person,Creston-Kenilworth,11/26/2019,1254,Assault Offenses,Simple Assault,,,,,11/26/2019,1
,19-X5384614,Person,Montavilla,11/18/2019,0700,Assault Offenses,Simple Assault,,,,,11/28/2019,1
,19-X5384617,Person,Cully,11/28/2019,2000,Assault Offenses,Aggravated Assault,,,,,11/28/2019,1
,19-X5384619,Person,Piedmont,11/28/2019,2039,Assault Offenses,Aggravated Assault,,,,,11/28/2019,1
,19-X5384627,Person,Lents,11/29/2019,1956,Assault Offenses,Simple Assault,,,,,11/29/2019,1
,19-X5384634,Person,,11/29/2019,2000,Assault Offenses,Simple Assault,,,,,11/30/2019,1
,19-X5384638,Person,Old Town/Chinatown,11/30/2019,1758,Assault Offenses,Intimidation,,,,,11/30/2019,1
,19-X5384644,Person,St Johns,11/30/2019,1900,Assault Offenses,Simple Assault,,,,,11/30/2019,1
,19-X5384750,Person,Hayhurst,12/1/2019,0200,Sex Offenses,Rape,,,,,12/1/2019,1
,19-X5384791,Person,Cully,12/1/2019,1850,Assault Offenses,Simple Assault,,,,,12/1/2019,1
,19-X5384923,Person,Centennial,12/1/2019,1900,Assault Offenses,Simple Assault,,,,,12/1/2019,1
,19-X5384923,Society,Centennial,12/1/2019,1900,Animal Cruelty Offenses,Animal Cruelty,,,,,12/1/2019,1
,19-X5385018,Property,Russell,11/28/2019,1418,Fraud Offenses,Identity Theft,,,,,11/28/2019,1
,19-X5385059,Person,Lloyd,12/2/2019,0005,Assault Offenses,Aggravated Assault,,,,,12/2/2019,1
,19-X5385092,Person,Centennial,12/2/2019,0231,Assault Offenses,Simple Assault,,,,,12/2/2019,1
,19-X5385257,Person,Montavilla,6/5/2019,0000,Sex Offenses,Rape,,,,,12/2/2019,1
,19-X5385261,Property,Powellhurst-Gilbert,11/30/2019,2132,Robbery,Robbery,,,,,11/30/2019,1
,19-X5385285,Person,Parkrose,12/1/2019,1932,Assault Offenses,Simple Assault,,,,,12/1/2019,1
,19-X5385288,Person,Cully,11/21/2019,1200,Assault Offenses,Simple Assault,,,,,12/1/2019,1
,19-X5385292,Person,Lents,12/2/2019,1350,Assault Offenses,Simple Assault,,,,,12/2/2019,1
,19-X5385374,Person,Madison South,12/1/2019,1900,Assault Offenses,Aggravated Assault,,,,,12/2/2019,1
,19-X5385389,Person,Centennial,12/2/2019,1948,Assault Offenses,Intimidation,,,,,12/2/2019,1
,19-X5385391,Person,Creston-Kenilworth,11/29/2019,0230,Assault Offenses,Simple Assault,,,,,12/2/2019,1
,19-X5385574,Person,Mill Park,12/2/2019,1852,Assault Offenses,Aggravated Assault,,,,,12/2/2019,1
,19-X5385587,Property,,11/27/2019,1745,Larceny Offenses,All Other Larceny,,,,,11/27/2019,1
,19-X5385590,Property,,11/27/2019,1745,Larceny Offenses,All Other Larceny,,,,,11/27/2019,1
,19-X5385625,Person,Mill Park,12/2/2019,2130,Assault Offenses,Simple Assault,,,,,12/2/2019,1
,19-X5385627,Person,Hazelwood,12/2/2019,2200,Assault Offenses,Aggravated Assault,,,,,12/3/2019,1
,19-X5385629,Person,Northwest,12/2/2019,2157,Assault Offenses,Simple Assault,,,,,12/2/2019,1
,19-X5385632,Person,Sullivan's Gulch,12/2/2019,2230,Assault Offenses,Intimidation,,,,,12/2/2019,1
,19-X5385750,Property,Glenfair,12/3/2019,0530,Larceny Offenses,Theft From Motor Vehicle,,,,,12/3/2019,1
,19-X5385783,Property,Mill Park,11/15/2019,0230,Larceny Offenses,Theft From Motor Vehicle,,,,,11/30/2019,1
,19-X5385833,Person,Parkrose,12/3/2019,2349,Assault Offenses,Simple Assault,,,,,12/4/2019,1
,19-X5385840,Property,Hazelwood,11/28/2019,1200,Fraud Offenses,Credit Card/ATM Fraud,,,,,11/29/2019,1
,19-X5385902,Person,Powellhurst-Gilbert,12/4/2019,0704,Assault Offenses,Aggravated Assault,,,,,12/4/2019,1
,19-X5385902,Property,Powellhurst-Gilbert,12/4/2019,0704,Burglary,Burglary,,,,,12/4/2019,1
,19-X5385905,Person,Lents,12/4/2019,0846,Assault Offenses,Simple Assault,,,,,12/4/2019,1
,19-X5385912,Person,Old Town/Chinatown,11/23/2019,1200,Assault Offenses,Intimidation,,,,,12/4/2019,1
,19-X5385986,Person,Centennial,12/1/2019,0600,Assault Offenses,Simple Assault,,,,,12/4/2019,1
,19-X5386042,Person,Forest Park,6/17/2018,0000,Sex Offenses,Rape,,,,,12/3/2019,1
,19-X5386058,Person,Alameda,12/1/2019,1832,Assault Offenses,Simple Assault,,,,,12/1/2019,2
,19-X5386058,Property,Alameda,12/1/2019,1832,Burglary,Burglary,,,,,12/1/2019,1
,19-X5386081,Person,Mill Park,12/4/2019,1050,Assault Offenses,Intimidation,,,,,12/4/2019,1
,19-X5386089,Person,Kenton,12/4/2019,2000,Assault Offenses,Simple Assault,,,,,12/4/2019,1
,19-X5386121,Person,Overlook,12/5/2019,0123,Assault Offenses,Aggravated Assault,,,,,12/5/2019,1
,19-X5386224,Person,St Johns,12/5/2019,0146,Assault Offenses,Simple Assault,,,,,12/5/2019,1
,19-X5386227,Person,Powellhurst-Gilbert,12/5/2019,0100,Assault Offenses,Simple Assault,,,,,12/5/2019,1
,19-X5386228,Person,Lents,11/1/2018,0000,Assault Offenses,Simple Assault,,,,,12/4/2019,1
,19-X5386244,Person,,12/5/2019,0635,Assault Offenses,Simple Assault,,,,,12/5/2019,1
,19-X5386249,Person,Kenton,12/4/2019,1800,Assault Offenses,Simple Assault,,,,,12/5/2019,1
,19-X5386316,Person,Reed,12/5/2019,1146,Assault Offenses,Simple Assault,,,,,12/5/2019,1
,19-X5386321,Person,Foster-Powell,11/29/2019,2100,Kidnapping/Abduction,Kidnapping/Abduction,,,,,12/5/2019,1
