Address,CaseNumber,CrimeAgainst,Neighborhood,OccurDate,OccurTime,OffenseCategory,OffenseType,OpenDataLat,OpenDataLon,OpenDataX,OpenDataY,ReportDate,OffenseCount
,23-X5791168,Person,Arbor Lodge,1/1/2023,0246,Assault Offenses,Simple Assault,,,,,1/1/2023,1
,23-X5791169,Person,Old Town/Chinatown,1/1/2023,0209,Assault Offenses,Simple Assault,,,,,1/1/2023,1
,23-X5791250,Person,Creston-Kenilworth,1/1/2023,0649,Assault Offenses,Aggravated Assault,,,,,1/1/2023,1
,23-X5791315,Person,Pearl,1/1/2023,0100,Kidnapping/Abduction,Kidnapping/Abduction,,,,,1/1/2023,1
,23-X5791338,Person,Centennial,1/1/2023,1225,Assault Offenses,Simple Assault,,,,,1/1/2023,1
,23-X5791342,Person,Wilkes,1/1/2023,1738,Assault Offenses,Aggravated Assault,,,,,1/1/2023,2
,23-X5791346,Person,Hazelwood,1/1/2023,1251,Assault Offenses,Simple Assault,,,,,1/1/2023,1
,23-X5791350,Person,Brentwood-Darlington,1/1/2023,2239,Assault Offenses,Aggravated Assault,,,,,1/1/2023,1
,23-X5791361,Person,Sumner,1/2/2023,0110,Assault Offenses,Simple Assault,,,,,1/2/2023,1
,23-X5791366,Person,Hayden Island,1/1/2023,1700,Assault Offenses,Simple Assault,,,,,1/1/2023,1
,23-X5791369,Person,Centennial,1/2/2023,0059,Assault Offenses,Simple Assault,,,,,1/2/2023,1
,23-X5791369,Society,Centennial,1/2/2023,0059,Weapon Law Violations,Weapons Law Violations,,,,,1/2/2023,1
,23-X5791399,Person,West Portland Park,1/2/2023,0624,Assault Offenses,Simple Assault,,,,,1/2/2023,1
,23-X5791400,Person,Sylvan-Highlands,1/2/2023,0730,Assault Offenses,Simple Assault,,,,,1/2/2023,2
,23-X5791404,Person,Glenfair,1/2/2023,1041,Assault Offenses,Simple Assault,,,,,1/2/2023,1
,23-X5791406,Person,Boise,1/1/2023,0445,Assault Offenses,Aggravated Assault,,,,,1/1/2023,2
,23-X5791413,Person,Lents,12/25/2022,0300,Assault Offenses,Aggravated Assault,,,,,1/1/2023,1
,23-X5791414,Person,Sabin,1/1/2023,1519,Assault Offenses,Simple Assault,,,,,1/1/2023,1
,23-X5791543,Person,Hazelwood,1/2/2023,1900,Assault Offenses,Aggravated Assault,,,,,1/3/2023,1
,23-X5791641,Person,Sunnyside,1/3/2023,0757,Assault Offenses,Aggravated Assault,,,,,1/3/2023,1
,23-X5791641,Society,Sunnyside,1/3/2023,0757,Weapon Law Violations,Weapons Law Violations,,,,,1/3/2023,1
,23-X5791657,Person,Boise,1/3/2023,1553,Assault Offenses,Aggravated Assault,,,,,1/3/2023,1
,23-X5791664,Person,Multnomah,1/3/2023,2110,Assault Offenses,Simple Assault,,,,,1/3/2023,1
,23-X5791695,Person,Foster-Powell,1/2/2023,2352,Assault Offenses,Simple Assault,,,,,1/2/2023,1
,23-X5791785,Person,Eliot,1/4/2023,0030,Assault Offenses,Aggravated Assault,,,,,1/4/2023,2
,23-X5791785,Society,Eliot,1/4/2023,0030,Weapon Law Violations,Weapons Law Violations,,,,,1/4/2023,1
,23-X5791839,Person,Cully,1/1/2023,0402,Assault Offenses,Aggravated Assault,,,,,1/1/2023,3
,23-X5791918,Person,Boise,12/8/2022,1030,Assault Offenses,Simple Assault,,,,,1/2/2023,1
,23-X5791920,Person,Mt Scott-Arleta,1/3/2023,0212,Assault Offenses,Simple Assault,,,,,1/3/2023,1
,23-X5791932,Person,Parkrose Heights,1/3/2023,1750,Assault Offenses,Simple Assault,,,,,1/3/2023,1
,23-X5792051,Person,Goose Hollow,1/4/2023,1345,Assault Offenses,Simple Assault,,,,,1/4/2023,1
,23-X5792134,Person,Montavilla,1/4/2023,1719,Assault Offenses,Simple Assault,,,,,1/4/2023,1
,23-X5792151,Person,Centennial,1/4/2023,2122,Assault Offenses,Aggravated Assault,,,,,1/4/2023,1
,23-X5792151,Society,Centennial,1/4/2023,2122,Weapon Law Violations,Weapons Law Violations,,,,,1/4/2023,1
