Address,CaseNumber,CrimeAgainst,Neighborhood,OccurDate,OccurTime,OffenseCategory,OffenseType,OpenDataLat,OpenDataLon,OpenDataX,OpenDataY,ReportDate,OffenseCount
,20-X5397620,Person,,1/1/2020,0345,Assault Offenses,Simple Assault,,,,,1/1/2020,1
,20-X5397621,Person,Hazelwood,1/1/2020,0550,Assault Offenses,Intimidation,,,,,1/1/2020,1
,20-X5397645,Person,Collins View,1/1/2020,0053,Assault Offenses,Simple Assault,,,,,1/1/2020,1
,20-X5397645,Property,Collins View,1/1/2020,0053,Arson,Arson,,,,,1/1/2020,1
,20-X5397659,Person,Woodlawn,1/1/2020,0158,Assault Offenses,Simple Assault,,,,,1/1/2020,1
,20-X5397851,Person,Downtown,1/1/2020,0011,Assault Offenses,Simple Assault,,,,,1/1/2020,1
,20-X5397856,Person,Hazelwood,1/1/2020,1128,Assault Offenses,Simple Assault,,,,,1/1/2020,1
,20-X5397857,Person,Hosford-Abernethy,1/1/2020,1318,Assault Offenses,Aggravated Assault,,,,,1/1/2020,1
,20-X5397872,Person,St Johns,1/1/2020,1217,Assault Offenses,Simple Assault,,,,,1/1/2020,1
,20-X5397915,Person,Concordia,1/1/2020,1810,Assault Offenses,Simple Assault,,,,,1/1/2020,1
,20-X5397915,Property,Concordia,1/1/2020,1810,Vandalism,Vandalism,,,,,1/1/2020,1
,20-X5398057,Person,Buckman East,1/1/2020,2057,Assault Offenses,Simple Assault,,,,,1/1/2020,1
,20-X5398139,Person,Hazelwood,1/2/2020,1021,Assault Offenses,Simple Assault,,,,,1/2/2020,1
,20-X5398147,Person,Roseway,1/2/2020,0600,Assault Offenses,Simple Assault,,,,,1/2/2020,1
,20-X5398189,Person,Centennial,1/1/2019,1005,Sex Offenses,Sodomy,,,,,1/2/2020,1
,20-X5398195,Person,South Portland,1/2/2020,1120,Assault Offenses,Simple Assault,,,,,1/2/2020,1
,20-X5398303,Person,Eliot,1/2/2020,2159,Assault Offenses,Simple Assault,,,,,1/2/2020,1
,20-X5398307,Person,Powellhurst-Gilbert,1/2/2020,1536,Assault Offenses,Simple Assault,,,,,1/2/2020,1
,20-X5398337,Person,Old Town/Chinatown,1/2/2020,0917,Assault Offenses,Aggravated Assault,,,,,1/2/2020,1
,20-X5398342,Person,St Johns,1/2/2020,2030,Assault Offenses,Simple Assault,,,,,1/2/2020,1
,20-X5398365,Person,Montavilla,1/3/2020,0123,Assault Offenses,Simple Assault,,,,,1/3/2020,1
,20-X5398880,Person,Glenfair,1/4/2020,0057,Assault Offenses,Simple Assault,,,,,1/4/2020,1
,20-X5398894,Person,Glenfair,1/3/2020,2250,Assault Offenses,Aggravated Assault,,,,,1/3/2020,1
,20-X5398912,Person,Mill Park,1/3/2020,2242,Assault Offenses,Simple Assault,,,,,1/3/2020,2
,20-X5398939,Person,Hazelwood,1/4/2020,0238,Assault Offenses,Simple Assault,,,,,1/4/2020,1
,20-X5399016,Person,Glenfair,1/4/2020,0506,Homicide Offenses,Murder and Non-negligent Manslaughter,,,,,1/4/2020,1
,20-X5399028,Person,Old Town/Chinatown,1/3/2020,1649,Assault Offenses,Simple Assault,,,,,1/3/2020,1
,20-X5399033,Person,,1/4/2020,0948,Assault Offenses,Simple Assault,,,,,1/4/2020,1
,20-X5399043,Person,Madison South,1/3/2020,1732,Assault Offenses,Aggravated Assault,,,,,1/3/2020,1
,20-X5399059,Person,Hosford-Abernethy,1/3/2020,1600,Assault Offenses,Intimidation,,,,,1/3/2020,1
,20-X5399059,Property,Hosford-Abernethy,1/3/2020,1600,Vandalism,Vandalism,,,,,1/3/2020,1
,20-X5399062,Person,Hosford-Abernethy,1/4/2020,0006,Assault Offenses,Intimidation,,,,,1/4/2020,1
,20-X5399062,Property,Hosford-Abernethy,1/4/2020,0006,Vandalism,Vandalism,,,,,1/4/2020,1
,20-X5399072,Property,Eliot,1/4/2020,1320,Vandalism,Vandalism,,,,,1/4/2020,1
,20-X5399080,Property,Centennial,1/4/2020,0513,Vandalism,Vandalism,,,,,1/4/2020,1
,20-X5399154,Person,Hayden Island,12/30/2019,0800,Assault Offenses,Simple Assault,,,,,1/4/2020,1
,20-X5399169,Person,University Park,1/4/2020,0139,Assault Offenses,Aggravated Assault,,,,,1/4/2020,2
,20-X5399303,Person,Glenfair,1/4/2020,2155,Assault Offenses,Simple Assault,,,,,1/4/2020,1
,20-X5399346,Person,Wilkes,1/1/2020,0359,Assault Offenses,Aggravated Assault,,,,,1/1/2020,2
,20-X5399442,Person,Buckman West,1/3/2020,0736,Assault Offenses,Simple Assault,,,,,1/3/2020,1
,20-X5399456,Person,Powellhurst-Gilbert,1/1/2020,0400,Assault Offenses,Simple Assault,,,,,1/3/2020,1
,20-X5399497,Person,Humboldt,11/27/2019,1100,Assault Offenses,Simple Assault,,,,,1/2/2020,1
,20-X5399509,Person,Old Town/Chinatown,1/5/2020,0756,Assault Offenses,Aggravated Assault,,,,,1/5/2020,1
,20-X5399568,Person,King,1/5/2020,1350,Assault Offenses,Simple Assault,,,,,1/5/2020,1
,20-X5399846,Person,Madison South,1/4/2020,2039,Assault Offenses,Simple Assault,,,,,1/4/2020,1
,20-X5399948,Person,Mill Park,1/5/2020,2026,Assault Offenses,Simple Assault,,,,,1/5/2020,1
,20-X5399999,Person,,1/5/2020,1710,Assault Offenses,Aggravated Assault,,,,,1/5/2020,1
,20-X5400007,Person,Hillsdale,1/5/2020,2145,Assault Offenses,Aggravated Assault,,,,,1/5/2020,1
,20-X5400010,Person,Hollywood,1/5/2020,2330,Assault Offenses,Aggravated Assault,,,,,1/6/2020,1
,20-X5400045,Property,Kerns,1/1/2020,1010,Vandalism,Vandalism,,,,,1/1/2020,1
,20-X5400119,Person,,1/6/2020,1130,Sex Offenses,Rape,,,,,1/6/2020,1
,20-X5400123,Person,Homestead,1/5/2020,2128,Assault Offenses,Aggravated Assault,,,,,1/5/2020,1
,20-X5400124,Person,Irvington,1/6/2020,0130,Assault Offenses,Simple Assault,,,,,1/6/2020,1
,20-X5400143,Property,Arbor Lodge,1/6/2020,0855,Vandalism,Vandalism,,,,,1/6/2020,1
